"Country","Year","All","Communicable","Noncommunicable","Injuries"
"Hungary"," 2012","663.9","16.8","602.8","44.3"
"Hungary"," 2000","826.9","22.8","734.2","70.0"
"Iceland"," 2012","354.7","14.0","311.7","29.0"
"Iceland"," 2000","448.3","26.4","381.7","40.3"
"India"," 2012","1051.2","253.0","682.3","115.9"
"India"," 2000","1262.1","389.5","740.0","132.6"
"Indonesia"," 2012","891.8","162.4","680.1","49.3"
"Indonesia"," 2000","1063.9","262.6","741.9","59.4"
"Iran (Islamic Republic of)"," 2012","700.5","56.2","569.3","74.9"
"Iran (Islamic Republic of)"," 2000","900.3","81.1","719.6","99.6"
"Iraq"," 2012","930.9","87.0","715.5","128.5"
"Iraq"," 2000","857.5","110.0","657.8","89.7"
"Ireland"," 2012","397.2","21.5","343.9","31.8"
"Ireland"," 2000","593.3","52.5","503.3","37.5"
"Israel"," 2012","363.3","31.2","311.2","20.8"
"Israel"," 2000","477.2","32.0","414.1","31.1"
"Italy"," 2012","339.2","15.5","303.6","20.1"
"Italy"," 2000","450.9","20.3","400.0","30.7"
"Jamaica"," 2012","667.5","97.0","519.1","51.5"
"Jamaica"," 2000","787.3","180.4","549.1","57.9"
"Japan"," 2012","318.6","33.9","244.2","40.5"
"Japan"," 2000","381.2","42.4","298.2","40.6"
"Jordan"," 2012","746.3","52.5","640.3","53.5"
"Jordan"," 2000","849.1","71.5","715.1","62.5"
"Kazakhstan"," 2012","1106.6","55.3","949.7","101.6"
"Kazakhstan"," 2000","1333.4","114.8","1059.5","159.1"
"Kenya"," 2012","1273.3","657.5","514.7","101.1"
"Kenya"," 2000","1731.6","1113.0","515.1","103.5"
"Kuwait"," 2012","514.2","82.5","406.3","25.4"
"Kuwait"," 2000","755.0","75.6","636.6","42.8"
"Kyrgyzstan"," 2012","966.3","65.8","835.4","65.1"
"Kyrgyzstan"," 2000","1149.7","125.4","945.9","78.4"
"Lao People's Democratic Republic"," 2012","1083.9","328.7","680.0","75.2"
"Lao People's Democratic Republic"," 2000","1361.6","458.8","795.9","106.8"
"Latvia"," 2012","704.3","26.0","623.7","54.5"
"Latvia"," 2000","862.0","40.7","697.0","124.2"
"Lebanon"," 2012","455.7","30.5","384.6","40.6"
"Lebanon"," 2000","719.3","52.0","597.8","69.5"
"Lesotho"," 2012","1924.7","1110.5","671.8","142.5"
"Lesotho"," 2000","2086.5","1260.4","693.9","132.2"
"Liberia"," 2012","1349.3","609.1","656.9","83.3"
"Liberia"," 2000","1919.3","1033.1","774.5","111.7"
"Libya"," 2012","665.4","52.6","550.0","62.8"
"Libya"," 2000","842.0","74.1","705.2","62.7"
"Lithuania"," 2012","682.6","25.5","580.6","76.4"
"Lithuania"," 2000","771.6","28.4","621.6","121.7"
"Luxembourg"," 2012","369.4","20.5","317.8","31.1"
"Luxembourg"," 2000","502.4","22.2","432.6","47.5"
"Madagascar"," 2012","1167.6","429.9","648.6","89.0"
"Madagascar"," 2000","1464.3","602.2","766.9","95.2"
"Malawi"," 2012","1530.4","777.6","655.0","97.7"
"Malawi"," 2000","2428.3","1666.3","675.4","86.6"
"Malaysia"," 2012","743.4","117.4","563.2","62.8"
"Malaysia"," 2000","889.7","128.7","685.3","75.7"
"Maldives"," 2012","581.5","59.2","487.2","35.0"
"Maldives"," 2000","1095.8","188.5","813.6","93.7"
"Mali"," 2012","1573.9","588.3","866.1","119.5"
"Mali"," 2000","2078.8","994.6","952.5","131.6"
